Source Target Confidence
7 427 0.506000
7 441 0.548000
7 465 0.500000
7 499 0.500000
7 564 0.500000
7 619 0.500000
7 652 0.509000
7 654 0.524000
7 661 0.503000
7 669 0.569000
7 671 0.575000
7 677 0.602000
7 678 0.491000
7 679 0.530000
7 681 0.440000
7 692 0.506000
7 694 0.503000
7 708 0.614000
7 738 0.500000
7 778 0.506000
7 830 0.500000
7 846 0.500000
7 847 0.503000
7 862 0.479000
7 902 0.473000
7 905 0.440000
7 915 0.509000
7 923 0.515000
7 963 0.500000
7 984 0.647000
7 1016 0.452000
7 1027 0.515000
7 1031 0.503000
7 1047 0.503000
7 1050 0.587000
7 1052 0.524000
7 1062 0.500000
7 1080 0.506000
7 1095 0.521000
7 1136 0.506000
7 1150 0.512000
7 1169 0.572000
7 1175 0.500000
7 1181 0.569000
7 1182 0.473000
7 1185 0.584000
7 1186 0.482000
7 1196 0.506000
7 1206 0.512000
7 1220 0.506000
7 1237 0.506000
7 1249 0.509000
7 1250 0.506000
7 1278 0.566000
7 1302 0.488000
7 1314 0.557000
7 1344 0.515000
7 1405 0.560000
7 1442 0.506000
7 1450 0.500000
7 1552 0.500000
7 1585 0.506000
7 1591 0.500000
7 1603 0.518000
7 1609 0.512000
7 1693 0.506000
7 1696 0.500000
7 1698 0.551000
7 1728 0.506000
7 1825 0.500000
7 1847 0.500000
7 1881 0.530000
7 1890 0.473000
7 1916 0.506000
7 1929 0.482000
7 1931 0.518000
7 1946 0.473000
7 1975 0.500000
7 1984 0.440000
7 1987 0.578000
7 2011 0.509000
7 2028 0.506000
7 2058 0.503000
7 2086 0.503000
7 2093 0.503000
7 2141 0.521000
7 2188 0.488000
7 2212 0.515000
7 2223 0.500000
7 2242 0.500000
7 2261 0.500000
7 2264 0.554000
7 2286 0.500000
7 2291 0.500000
7 2302 0.521000
7 2308 0.485000
7 2329 0.503000
7 2350 0.503000
7 2351 0.503000
7 2408 0.500000
7 2467 0.524000
7 2522 0.524000
7 2528 0.524000
7 2532 0.446000
7 2536 0.500000
7 2562 0.506000
7 2583 0.551000
7 2591 0.512000
7 2601 0.503000
7 2611 0.467000
7 2635 0.512000
7 2652 0.500000
7 2661 0.521000
7 2667 0.500000
7 2692 0.473000
7 2698 0.464000
7 2724 0.500000
7 2826 0.506000
7 2849 0.506000
7 2899 0.554000
7 2914 0.467000
7 2920 0.500000
7 2933 0.515000
7 2994 0.563000
7 2998 0.509000
7 3011 0.467000
7 3012 0.500000
7 3019 0.479000
7 3024 0.449000
7 3027 0.500000
7 3028 0.449000
7 3038 0.455000
7 3039 0.455000
7 3040 0.473000
7 3049 0.569000
7 3066 0.548000
7 3135 0.509000
7 3188 0.500000
7 3191 0.506000
7 3417 0.503000
7 3468 0.464000
7 3481 0.440000
7 3483 0.440000
7 3509 0.512000
7 3585 0.503000
7 3617 0.506000
7 3683 0.503000
7 3751 0.464000
7 3764 0.566000
7 3856 0.500000
7 3858 0.554000
7 3859 0.443000
7 3860 0.440000
7 3872 0.587000
7 3874 0.470000
7 3889 0.500000
7 3899 0.509000
7 3905 0.581000
7 3939 0.485000
7 3987 0.575000
7 3989 0.551000
7 3990 0.500000
7 4004 0.443000
7 4022 0.506000
7 4031 0.488000
7 4035 0.503000
7 4159 0.506000
7 4174 0.545000
7 4175 0.443000
7 4209 0.485000
7 4216 0.521000
7 4220 0.467000
7 4221 0.551000
7 4229 0.440000
7 4281 0.500000
7 4283 0.500000
7 4336 0.500000
7 4337 0.500000
7 4356 0.503000
7 4416 0.500000
7 4434 0.503000
7 4442 0.509000
7 4464 0.500000
7 4493 0.440000
7 4494 0.443000
7 4528 0.500000
7 4571 0.476000
7 4572 0.446000
7 4573 0.440000
7 4588 0.500000
7 4607 0.500000
7 4649 0.533000
7 4655 0.509000
7 4658 0.518000
7 4664 0.503000
7 4697 0.557000
7 4707 0.500000
7 4735 0.509000
7 4744 0.440000
7 4756 0.503000
7 4774 0.512000
7 4779 0.506000
7 4830 0.506000
7 4845 0.500000
7 4852 0.503000
7 4870 0.515000
7 4875 0.506000
7 4955 0.506000
7 5006 0.500000
7 5033 0.530000
7 5055 0.500000
7 5058 0.506000
7 5082 0.500000
7 5104 0.479000
7 5118 0.587000
7 5124 0.503000
7 5137 0.500000
7 5138 0.503000
7 5146 0.503000
7 5147 0.515000
7 5170 0.473000
7 5189 0.506000
7 5203 0.506000
7 5218 0.446000
7 5253 0.500000
7 5263 0.482000
7 5267 0.467000
7 5286 0.443000
7 5312 0.506000
7 5328 0.503000
7 5334 0.560000
7 5358 0.551000
7 5360 0.500000
7 5368 0.506000
7 5383 0.512000
7 5432 0.530000
7 5448 0.506000
7 5480 0.527000
7 5483 0.440000
7 5487 0.509000
7 5511 0.509000
7 5594 0.506000
7 5601 0.500000
7 5605 0.461000
7 5651 0.512000
7 5689 0.509000
7 5708 0.509000
7 5726 0.527000
7 5807 0.446000
7 5817 0.515000
7 5857 0.509000
7 5879 0.572000
7 5880 0.506000
7 5889 0.557000
7 5946 0.539000
7 5990 0.467000
7 6041 0.554000
7 6042 0.443000
7 6077 0.500000
7 6193 0.506000
7 6261 0.515000
7 6362 0.521000
8 73 0.500000
8 187 0.500000
8 195 0.500000
8 418 0.500000
8 465 0.500000
8 499 0.500000
8 564 0.500000
8 619 0.500000
8 708 0.500000
8 738 0.500000
8 846 0.500000
8 1062 0.500000
8 1591 0.500000
8 1825 0.500000
8 1847 0.500000
8 2223 0.500000
8 2242 0.500000
8 2261 0.500000
8 2286 0.500000
8 2291 0.500000
8 2408 0.500000
8 2536 0.500000
8 2667 0.500000
8 2724 0.500000
8 2920 0.500000
8 3188 0.500000
8 3856 0.500000
8 3889 0.500000
8 4174 0.500000
8 4336 0.500000
8 4337 0.500000
8 4416 0.500000
8 4528 0.500000
8 4607 0.500000
8 4845 0.500000
8 5082 0.500000
8 5137 0.500000
8 5360 0.500000
8 6077 0.500000
10 2410 0.455000
10 2780 0.455000
10 3374 0.500000
10 3578 0.455000
11 24 0.509000
11 32 0.509000
11 166 0.509000
11 480 0.509000
11 1176 0.509000
11 1273 0.509000
11 1279 0.509000
11 1281 0.509000
11 1282 0.509000
11 1286 0.509000
11 1287 0.509000
11 1288 0.509000
11 1350 0.509000
11 2732 0.509000
11 3606 0.509000
11 3714 0.509000
11 3865 0.509000
11 3866 0.509000
11 4319 0.509000
11 4518 0.509000
11 4974 0.509000
11 4977 0.509000
12 1837 0.200000
13 5982 0.200000
14 73 0.500000
14 187 0.500000
14 195 0.500000
14 418 0.500000
14 465 0.500000
14 499 0.500000
14 564 0.500000
14 619 0.500000
14 708 0.500000
14 738 0.500000
14 846 0.500000
14 1062 0.500000
14 1591 0.500000
14 1825 0.500000
14 1847 0.500000
14 2223 0.500000
14 2242 0.500000
14 2261 0.500000
14 2286 0.500000
14 2291 0.500000
14 2408 0.500000
14 2536 0.500000
14 2667 0.500000
14 2724 0.500000
14 2920 0.500000
14 3188 0.500000
14 3856 0.500000
14 3889 0.500000
14 4174 0.500000
14 4336 0.500000
14 4337 0.500000
14 4416 0.500000
14 4528 0.500000
14 4607 0.500000
14 4845 0.500000
14 5082 0.500000
14 5137 0.500000
14 5360 0.500000
14 6077 0.500000
15 73 0.500000
15 148 0.491000
15 187 0.500000
15 195 0.500000
15 347 0.500000
15 408 0.620000
15 418 0.605000
15 419 0.482000
15 465 0.500000
15 499 0.500000
15 564 0.500000
15 619 0.500000
15 671 0.491000
15 677 0.602000
15 678 0.491000
15 708 0.575000
15 738 0.500000
15 830 0.500000
15 846 0.500000
15 862 0.479000
15 902 0.473000
15 905 0.440000
15 963 0.500000
15 984 0.647000
15 1016 0.452000
15 1062 0.500000
15 1175 0.500000
15 1182 0.473000
15 1185 0.584000
15 1186 0.482000
15 1302 0.488000
15 1405 0.560000
15 1450 0.500000
15 1552 0.500000
15 1591 0.500000
15 1696 0.500000
15 1698 0.551000
15 1825 0.500000
15 1847 0.500000
15 1890 0.473000
15 1929 0.482000
15 1975 0.500000
15 2188 0.488000
15 2223 0.500000
15 2242 0.500000
15 2261 0.500000
15 2264 0.554000
15 2286 0.500000
15 2291 0.500000
15 2308 0.485000
15 2408 0.500000
15 2536 0.500000
15 2611 0.467000
15 2652 0.500000
15 2667 0.500000
15 2692 0.473000
15 2698 0.464000
15 2724 0.500000
15 2914 0.467000
15 2920 0.500000
15 2994 0.563000
15 3011 0.467000
15 3012 0.500000
15 3019 0.479000
15 3024 0.449000
15 3027 0.500000
15 3038 0.455000
15 3039 0.455000
15 3040 0.473000
15 3049 0.569000
15 3188 0.500000
15 3468 0.464000
15 3751 0.464000
15 3764 0.566000
15 3856 0.500000
15 3874 0.470000
15 3889 0.500000
15 3939 0.485000
15 3987 0.575000
15 3989 0.551000
15 3990 0.500000
15 4031 0.488000
15 4174 0.500000
15 4209 0.485000
15 4220 0.467000
15 4221 0.551000
15 4281 0.500000
15 4283 0.500000
15 4336 0.500000
15 4337 0.500000
15 4416 0.500000
15 4464 0.500000
15 4528 0.500000
15 4571 0.476000
15 4572 0.446000
15 4573 0.440000
15 4588 0.500000
15 4607 0.500000
15 4697 0.557000
15 4707 0.500000
15 4845 0.500000
15 5006 0.500000
15 5055 0.500000
15 5082 0.500000
15 5104 0.479000
15 5137 0.500000
15 5170 0.473000
15 5253 0.500000
15 5263 0.482000
15 5267 0.467000
15 5286 0.443000
15 5334 0.560000
15 5358 0.551000
15 5360 0.500000
15 5483 0.440000
15 5601 0.500000
15 5605 0.461000
15 5807 0.446000
15 5879 0.572000
15 5990 0.467000
15 6041 0.554000
15 6077 0.500000
16 3374 0.575000
17 73 0.500000
17 187 0.500000
17 195 0.500000
17 418 0.500000
17 465 0.500000
17 499 0.500000
17 564 0.500000
17 619 0.500000
17 708 0.500000
17 738 0.500000
17 846 0.500000
17 1062 0.500000
17 1591 0.500000
17 1825 0.500000
17 1847 0.500000
17 2223 0.500000
17 2242 0.500000
17 2261 0.500000
17 2286 0.500000
17 2291 0.500000
17 2408 0.500000
17 2536 0.500000
17 2667 0.500000
17 2724 0.500000
17 2920 0.500000
17 3188 0.500000
17 3856 0.500000
17 3889 0.500000
17 4174 0.500000
17 4336 0.500000
17 4337 0.500000
17 4416 0.500000
17 4528 0.500000
17 4607 0.500000
17 4845 0.500000
17 5082 0.500000
17 5137 0.500000
17 5360 0.500000
17 6077 0.500000
18 1024 0.200000
18 1697 0.173000
18 2166 0.200000
18 2604 0.200000
18 2833 0.200000
18 2865 0.200000
18 4746 0.200000
18 4753 0.200000
18 5004 0.173000
18 5144 0.200000
19 3325 0.539000
20 3374 0.500000
21 3325 0.449000
22 3089 0.200000
23 3580 0.200000
24 56 0.551000
24 73 0.500000
24 76 0.503000
24 159 0.503000
24 172 0.509000
24 173 0.503000
24 187 0.500000
24 195 0.500000
24 207 0.506000
24 254 0.506000
24 354 0.524000
24 383 0.503000
24 399 0.503000
24 404 0.509000
24 418 0.500000
24 427 0.506000
24 441 0.548000
24 465 0.500000
24 499 0.500000
24 529 0.177500
24 564 0.500000
24 619 0.500000
24 652 0.509000
24 654 0.524000
24 661 0.503000
24 669 0.569000
24 671 0.506000
24 679 0.530000
24 681 0.440000
24 692 0.506000
24 694 0.503000
24 708 0.578000
24 738 0.500000
24 778 0.506000
24 846 0.500000
24 847 0.503000
24 915 0.509000
24 923 0.515000
24 1027 0.515000
24 1031 0.503000
24 1047 0.503000
24 1050 0.587000
24 1052 0.524000
24 1062 0.500000
24 1080 0.506000
24 1095 0.521000
24 1136 0.506000
24 1150 0.512000
24 1169 0.572000
24 1181 0.569000
24 1196 0.506000
24 1206 0.512000
24 1220 0.506000
24 1237 0.506000
24 1249 0.509000
24 1250 0.506000
24 1278 0.566000
24 1314 0.557000
24 1344 0.515000
24 1442 0.506000
24 1585 0.506000
24 1591 0.500000
24 1603 0.518000
24 1609 0.512000
24 1693 0.506000
24 1728 0.506000
24 1825 0.500000
24 1847 0.500000
24 1881 0.530000
24 1916 0.506000
24 1931 0.518000
24 1946 0.473000
24 1984 0.440000
24 1987 0.578000
24 2011 0.509000
24 2028 0.506000
24 2058 0.503000
24 2086 0.503000
24 2093 0.503000
24 2141 0.521000
24 2212 0.515000
24 2223 0.500000
24 2242 0.500000
24 2261 0.500000
24 2286 0.500000
24 2291 0.500000
24 2302 0.521000
24 2329 0.503000
24 2350 0.503000
24 2351 0.503000
24 2408 0.500000
24 2467 0.524000
24 2522 0.524000
24 2528 0.524000
24 2532 0.446000
24 2536 0.500000
24 2562 0.506000
24 2583 0.551000
24 2591 0.512000
24 2601 0.503000
24 2635 0.512000
24 2661 0.521000
24 2667 0.500000
24 2724 0.500000
24 2826 0.506000
24 2849 0.506000
24 2899 0.554000
24 2920 0.500000
24 2933 0.515000
24 2998 0.509000
24 3028 0.449000
24 3066 0.548000
24 3135 0.509000
24 3188 0.500000
24 3191 0.506000
24 3417 0.503000
24 3481 0.440000
24 3483 0.440000
24 3509 0.512000
24 3585 0.503000
24 3617 0.506000
24 3683 0.503000
24 3856 0.500000
24 3858 0.554000
24 3859 0.443000
24 3860 0.440000
24 3872 0.587000
24 3889 0.500000
24 3899 0.509000
24 3905 0.581000
24 4004 0.443000
24 4022 0.506000
24 4035 0.503000
24 4159 0.506000
24 4174 0.545000
24 4175 0.443000
24 4216 0.521000
24 4229 0.440000
24 4336 0.500000
24 4337 0.500000
24 4356 0.503000
24 4416 0.500000
24 4434 0.503000
24 4442 0.509000
24 4493 0.440000
24 4494 0.443000
24 4528 0.500000
24 4607 0.500000
24 4649 0.533000
24 4655 0.509000
24 4658 0.518000
24 4664 0.503000
24 4735 0.509000
24 4744 0.440000
24 4756 0.503000
24 4774 0.512000
24 4779 0.506000
24 4830 0.506000
24 4845 0.500000
24 4852 0.503000
24 4870 0.515000
24 4875 0.506000
24 4955 0.506000
24 5033 0.530000
24 5058 0.506000
24 5082 0.500000
24 5118 0.587000
24 5124 0.503000
24 5137 0.500000
24 5138 0.503000
24 5146 0.503000
24 5147 0.515000
24 5189 0.506000
24 5203 0.506000
24 5218 0.446000
24 5312 0.506000
24 5328 0.503000
24 5360 0.500000
24 5368 0.506000
24 5383 0.512000
24 5432 0.530000
24 5448 0.506000
24 5480 0.527000
24 5487 0.509000
24 5511 0.509000
24 5594 0.506000
24 5629 0.177500
24 5651 0.512000
24 5689 0.509000
24 5708 0.509000
24 5726 0.527000
24 5817 0.515000
24 5857 0.509000
24 5880 0.506000
24 5889 0.557000
24 5946 0.539000
24 6042 0.443000
24 6077 0.500000
24 6193 0.506000
24 6261 0.515000
24 6362 0.521000
25 2178 0.179000
26 1232 0.200000
27 322 0.173000
27 801 0.173000
27 2239 0.173000
27 2241 0.173000
27 2436 0.173000
27 3104 0.173000
27 3616 0.173000
27 3972 0.173000
27 4295 0.173000
27 4558 0.173000
27 5210 0.173000
27 5506 0.173000
27 5886 0.173000
27 5963 0.173000
28 6014 0.170000
29 2410 0.458000
29 2780 0.458000
29 3578 0.458000
30 3169 0.200000
31 1291 0.176000
31 2410 0.452000
31 2780 0.452000
31 3578 0.452000
32 56 0.551000
32 76 0.503000
32 159 0.503000
32 172 0.509000
32 173 0.503000
32 207 0.506000
32 254 0.506000
32 354 0.524000
32 383 0.503000
32 399 0.503000
32 404 0.509000
32 427 0.506000
32 441 0.548000
32 652 0.509000
32 654 0.524000
32 661 0.503000
32 669 0.569000
32 671 0.506000
32 679 0.530000
32 681 0.440000
32 692 0.506000
32 694 0.503000
32 708 0.506000
32 778 0.506000
32 847 0.503000
32 915 0.509000
32 923 0.515000
32 1027 0.515000
32 1031 0.503000
32 1047 0.503000
32 1050 0.587000
32 1052 0.524000
32 1080 0.506000
32 1095 0.521000
32 1136 0.506000
32 1150 0.512000
32 1169 0.572000
32 1181 0.569000
32 1196 0.506000
32 1206 0.512000
32 1220 0.506000
32 1237 0.506000
32 1249 0.509000
32 1250 0.506000
32 1278 0.566000
32 1314 0.557000
32 1344 0.515000
32 1442 0.506000
32 1585 0.506000
32 1599 0.855000
32 1603 0.518000
32 1609 0.512000
32 1693 0.506000
32 1728 0.506000
32 1881 0.530000
32 1916 0.506000
32 1931 0.518000
32 1946 0.473000
32 1984 0.440000
32 1987 0.578000
32 2011 0.509000
32 2028 0.506000
32 2058 0.503000
32 2086 0.503000
32 2093 0.503000
32 2141 0.521000
32 2212 0.515000
32 2302 0.521000
32 2329 0.503000
32 2350 0.503000
32 2351 0.503000
32 2467 0.524000
32 2522 0.524000
32 2528 0.524000
32 2532 0.446000
32 2562 0.506000
32 2583 0.551000
32 2591 0.512000
32 2601 0.503000
32 2635 0.512000
32 2661 0.521000
32 2826 0.506000
32 2849 0.506000
32 2899 0.554000
32 2933 0.515000
32 2998 0.509000
32 3028 0.449000
32 3066 0.548000
32 3135 0.509000
32 3191 0.506000
32 3374 0.575000
32 3417 0.503000
32 3481 0.440000
32 3483 0.440000
32 3509 0.512000
32 3585 0.503000
32 3617 0.506000
32 3683 0.503000
32 3858 0.554000
32 3859 0.443000
32 3860 0.440000
32 3872 0.587000
32 3899 0.509000
32 3905 0.581000
32 4004 0.443000
32 4022 0.506000
32 4035 0.503000
32 4159 0.506000
32 4174 0.440000
32 4175 0.443000
32 4216 0.521000
32 4229 0.440000
32 4356 0.503000
32 4434 0.503000
32 4442 0.509000
32 4493 0.440000
32 4494 0.443000
32 4649 0.533000
32 4655 0.509000
32 4658 0.518000
32 4664 0.503000
32 4735 0.509000
32 4744 0.440000
32 4756 0.503000
32 4774 0.512000
32 4779 0.506000
32 4830 0.506000
32 4852 0.503000
32 4870 0.515000
32 4875 0.506000
32 4955 0.506000
32 5033 0.530000
32 5058 0.506000
32 5118 0.587000
32 5124 0.503000
32 5138 0.503000
32 5146 0.503000
32 5147 0.515000
32 5189 0.506000
32 5203 0.506000
32 5218 0.446000
32 5252 0.560000
32 5312 0.506000
32 5328 0.503000
32 5368 0.506000
32 5383 0.512000
32 5432 0.530000
32 5448 0.506000
32 5480 0.527000
32 5487 0.509000
32 5511 0.509000
32 5594 0.506000
32 5651 0.512000
32 5689 0.509000
32 5708 0.509000
32 5726 0.527000
32 5817 0.515000
32 5857 0.509000
32 5880 0.506000
32 5889 0.557000
32 5946 0.539000
32 6042 0.443000
32 6193 0.506000
32 6261 0.515000
32 6362 0.521000
33 3374 0.500000
34 3285 0.200000
34 3739 0.200000
35 3714 0.200000
36 2410 0.440000
36 2780 0.440000
36 3578 0.440000
37 4514 0.200000
38 3374 0.611000
39 2378 0.173000
39 3031 0.200000
40 1959 0.200000
40 3401 0.200000
40 5465 0.200000
41 3374 0.638000
42 3374 0.611000
43 3151 0.200000
43 3346 0.200000
44 1382 0.167000
44 2065 0.170000
44 3022 0.170000
44 4838 0.170000
45 1354 0.200000
46 6095 0.200000
47 5064 0.176000
47 5110 0.191000
48 3374 0.575000
49 2410 0.443000
49 2780 0.443000
49 3578 0.443000
50 455 0.173000
50 536 0.200000
50 941 0.179000
50 1322 0.161000
50 2057 0.176000
50 3374 0.638000
50 5845 0.182000
51 2410 0.443000
51 2780 0.443000
51 3578 0.443000
52 2802 0.200000
52 3147 0.200000
52 5909 0.200000
53 2410 0.440000
53 2780 0.440000
53 3578 0.440000
54 430 0.200000
54 1956 0.167000
54 2096 0.170000
54 2831 0.158000
54 2875 0.170000
54 3043 0.170000
54 3269 0.200000
54 3948 0.200000
54 3958 0.170000
54 4068 0.200000
54 4373 0.167000
54 4833 0.200000
54 4846 0.200000
54 5654 0.200000
54 6123 0.167000
55 2410 0.443000
55 2780 0.443000
55 3325 0.536000
55 3578 0.443000
56 166 0.551000
56 480 0.551000
56 1176 0.551000
56 1273 0.551000
56 1279 0.551000
56 1281 0.551000
56 1282 0.551000
56 1286 0.551000
56 1287 0.551000
56 1288 0.551000
56 1350 0.551000
56 2732 0.551000
56 3606 0.551000
56 3714 0.551000
56 3865 0.551000
56 3866 0.551000
56 4319 0.551000
56 4518 0.551000
56 4974 0.551000
56 4977 0.551000
57 2410 0.452000
57 2780 0.452000
57 3578 0.452000
58 3333 0.167000
59 2410 0.449000
59 2780 0.449000
59 3578 0.449000
60 3897 0.185000
61 1892 0.200000
61 4233 0.170000
61 4747 0.191000
61 4861 0.170000
61 6373 0.179000
62 227 0.185000
62 588 0.191000
62 1745 0.200000
62 2681 0.179000
62 3408 0.200000
63 2410 0.449000
63 2780 0.449000
63 3325 0.548000
63 3578 0.449000
64 306 0.200000
64 2410 0.440000
64 2780 0.440000
64 3578 0.440000
65 3374 0.629000
66 2410 0.557000
66 2780 0.557000
66 3578 0.557000
67 1028 0.200000
68 3374 0.629000
69 675 0.167000
69 1762 0.167000
70 2410 0.455000
70 2780 0.455000
70 3578 0.455000
71 2410 0.470000
71 2780 0.470000
71 3578 0.470000
71 5969 0.560000
72 5868 0.200000
73 467 0.500000
73 1272 0.500000
73 1274 0.500000
73 1280 0.500000
73 1281 0.500000
73 1286 0.500000
73 1287 0.500000
73 1288 0.500000
73 2410 0.449000
73 2780 0.449000
73 3006 0.500000
73 3021 0.500000
73 3044 0.500000
73 3572 0.500000
73 3578 0.449000
73 5041 0.500000
73 5782 0.500000
74 400 0.164000
74 4271 0.161000
75 3374 0.575000
76 166 0.503000
76 480 0.503000
76 1176 0.503000
76 1273 0.503000
76 1279 0.503000
76 1281 0.503000
76 1282 0.503000
76 1286 0.503000
76 1287 0.503000
76 1288 0.503000
76 1350 0.503000
76 2410 0.458000
76 2732 0.503000
76 2780 0.458000
76 3578 0.458000
76 3606 0.503000
76 3714 0.503000
76 3865 0.503000
76 3866 0.503000
76 4319 0.503000
76 4518 0.503000
76 4974 0.503000
76 4977 0.503000
77 3374 0.500000
78 230 0.167000
78 402 0.200000
78 423 0.167000
78 444 0.179000
78 1219 0.200000
78 1492 0.164000
78 1770 0.173000
78 1879 0.170000
78 2293 0.170000
78 2595 0.170000
78 2673 0.170000
78 3351 0.167000
78 3557 0.167000
78 4030 0.173000
78 4365 0.170000
78 4554 0.170000
79 2410 0.440000
79 2780 0.440000
79 3578 0.440000
80 2917 0.170000
81 3374 0.611000
82 2410 0.443000
82 2780 0.443000
82 3578 0.443000
83 869 0.177500
84 256 0.167000
85 2410 0.452000
85 2780 0.452000
85 3578 0.452000
86 2738 0.200000
87 5365 0.200000
88 3325 0.521000
89 478 0.200000
89 4096 0.170000
89 4639 0.173000
89 5079 0.200000
89 5390 0.200000
89 5715 0.200000
89 6048 0.200000
90 4431 0.200000
90 4593 0.200000
91 2410 0.458000
91 2780 0.458000
91 3334 0.173000
91 3578 0.458000
92 6008 0.200000
93 2410 0.440000
93 2780 0.440000
93 3578 0.440000
94 3374 0.629000
95 3374 0.500000
96 3374 0.500000
97 3374 0.629000
98 2410 0.512000
98 2704 0.173000
98 2780 0.512000
98 3578 0.512000
98 3784 0.173000
98 5744 0.185000
99 294 0.164000
99 2595 0.176000
100 2410 0.446000
100 2780 0.446000
100 3578 0.446000
101 3374 0.575000
102 2410 0.449000
102 2780 0.449000
102 3578 0.449000
103 1944 0.177500
104 271 0.200000
104 829 0.200000
104 1259 0.200000
104 4813 0.200000
105 4903 0.200000
106 227 0.173000
106 730 0.173000
106 1689 0.173000
106 3092 0.177500
106 3176 0.177500
106 5479 0.177500
107 694 0.167000
107 798 0.200000
107 1131 0.200000
107 1430 0.200000
107 1680 0.173000
107 4477 0.200000
107 5069 0.167000
108 3374 0.500000
109 2410 0.440000
109 2780 0.440000
109 3374 0.629000
109 3578 0.440000
110 1674 0.158000
111 2410 0.446000
111 2780 0.446000
111 3374 0.575000
111 3578 0.446000
112 801 0.173000
112 1443 0.173000
112 3104 0.173000
112 3169 0.173000
112 4846 0.173000
112 5434 0.173000
112 5506 0.173000
112 5913 0.173000
112 6204 0.200000
112 6212 0.173000
113 3374 0.611000
113 5338 0.167000
